position_pair,engram7_load,engram7_strength,engram7_position,engram7_stretch,engram7_vspan,engram7_hspan,engram7_sequence
"L,",1,0.5,0,1,0.5,0,0
L.,0,0,0.75,1,0.5,0,0
L/,1,0,0.75,1,0.5,0,0
L;,1,0,1,1,1,1,0
LA,1,0,1,1,1,1,1
LB,1,0.5,0.5,0.5,1,1,1
LC,1,0.5,0,1,1,1,1
LD,1,0.5,1,1,1,1,1
LE,1,0.5,0.75,1,1,1,1
LF,1,0.5,1,1,1,1,1
LG,1,0.5,0.5,0.5,1,1,1
LH,1,0.5,0.5,0.5,1,0,1
LI,1,0.5,0.75,1,0.5,0,0
LJ,1,0.5,1,1,1,0,1
LK,1,0.5,1,1,1,1,1
LL,0,0,1,1,1,0,0
LM,1,0.5,0.75,1,0.5,1,0
LN,1,0.5,0.5,0.5,0.5,1,0
LO,0,0,0.75,1,0.5,0,0
LP,1,0,0,1,0.5,0,0
LQ,1,0,0,1,1,1,1
LR,1,0.5,0,1,1,1,1
LS,1,0,1,1,1,1,1
LT,1,0.5,0.5,0.5,1,1,1
LU,1,0.5,0,1,0.5,1,0
LV,1,0.5,0.75,1,1,1,1
LW,1,0,0.75,1,1,1,1
LX,1,0,0.75,1,1,1,1
LY,1,0.5,0.5,0.5,0.5,1,0
LZ,1,0,0.75,1,1,1,1
L[,1,0,0.5,0.5,0.5,0,0
M',1,0.5,0.25,0.5,0.5,1,0
"M,",1,1,0,1,1,1,0
M.,1,0.5,0.5,1,1,0,0
M/,1,0.5,0.5,1,1,0,0
M;,1,0.5,0.75,1,0.5,1,0
MA,1,0.5,0.75,1,1,1,1
MB,1,1,0.25,0.5,1,1,1
MC,1,1,0,1,1,1,1
MD,1,1,0.75,1,1,1,1
ME,1,1,0.5,1,1,1,1
MF,1,1,0.75,1,1,1,1
MG,1,1,0.25,0.5,1,1,1
MH,0,1,0.25,0.5,0.5,0,0
MI,1,1,0.5,1,0,0,0
MJ,0,1,0.75,1,0.5,0,0
MK,1,1,0.75,1,0.5,0,0
ML,1,0.5,0.75,1,0.5,1,0
MM,0,1,0.5,1,1,0,0
MN,0,1,0.25,0.5,1,0,0
MO,1,0.5,0.5,1,0,1,0
MP,1,0.5,0,1,0,1,0
MQ,1,0.5,0,1,1,1,1
MR,1,1,0,1,1,1,1
MS,1,0.5,0.75,1,1,1,1
MT,1,1,0.25,0.5,1,1,1
MU,0,1,0,1,0,0,0
MV,1,1,0.5,1,1,1,1
MW,1,0.5,0.5,1,1,1,1
MX,1,0.5,0.5,1,1,1,1
MY,0,1,0.25,0.5,0,0,0
MZ,1,0.5,0.5,1,1,1,1
M[,1,0.5,0.25,0.5,0,1,0
N',1,0.5,0,0,0.5,1,0
"N,",1,1,0,0.5,1,0,0
N.,1,0.5,0.25,0.5,1,0,0
N/,1,0.5,0.25,0.5,1,0,0
N;,1,0.5,0.5,0.5,0.5,1,0
NA,1,0.5,0.5,0.5,1,1,1
NB,1,1,0,0,1,1,1
NC,1,1,0,0.5,1,1,1
ND,1,1,0.5,0.5,1,1,1
NE,1,1,0.25,0.5,1,1,1
NF,1,1,0.5,0.5,1,1,1
NG,1,1,0,0,1,1,1
NH,0,1,0,0,0.5,0,0
NI,1,1,0.25,0.5,0,0,0
NJ,0,1,0.5,0.5,0.5,0,0
NK,1,1,0.5,0.5,0.5,0,0
NL,1,0.5,0.5,0.5,0.5,1,0
NM,0,1,0.25,0.5,1,0,0
NN,0,1,0,0,1,0,0
NO,1,0.5,0.25,0.5,0,1,0
NP,1,0.5,0,0.5,0,1,0
NQ,1,0.5,0,0.5,1,1,1
NR,1,1,0,0.5,1,1,1
NS,1,0.5,0.5,0.5,1,1,1
NT,1,1,0,0,1,1,1
NU,0,1,0,0.5,0,0,0
NV,1,1,0.25,0.5,1,1,1
NW,1,0.5,0.25,0.5,1,1,1
NX,1,0.5,0.25,0.5,1,1,1
NY,0,1,0,0,0,0,0
NZ,1,0.5,0.25,0.5,1,1,1
N[,1,0.5,0,0,0,1,0
O',1,0,0.25,0.5,0.5,0,0
"O,",1,0.5,0,1,0,0,0
O.,0,0,0.5,1,0,0,0
